cert,rcon2200_total_deposits,riad4073_total_interest_expense,riad4079_total_noninterest_income,riad4093_total_noninterest_expense,riad4107_total_interest_income,riad4340_net_income,riad4135_salaries_and_employee_benefits,n_missing,riad4092_other_noninterest_expense,riad4518_other_interest_income,name,asset,age,roa,roe,offices,specialization,bank_class,riad3196_relzd_gains(loss)_on_avl-fr-sle_secs,rconk115_ln_rstr_secd_nonfarm_own_pd_90
10057,59910,293,396,2582,3305,849,1462,259,923,15,Bank of Hancock County,74967,114.76986301369863,1.08,5.83,1,Other Specialized Lending < 1 Billion,NM,44,0
3850,33835,286,167,1018,1782,636,647,252,237,0,"First Community Bank, Xenia-Flora",43056,97.42465753424658,1.47,12.46,2,Agricultural  Specialization,SM,0,0
28868,197749,1978,1385,6832,8412,831,4013,259,2100,45,"Mineola Community Bank, S.S.B.",251705,85.16986301369863,0.37,2.84,6,Mortgage Lending Specialization,SB,0,0
14083,8357,17,218,609,370,-7,280,252,307,0,Bison State Bank,9703,118.43835616438356,-0.08,-0.56,1,Agricultural  Specialization,NM,0,0
10202,39842,334,224,1304,2744,1260,748,252,418,16,Lowry State Bank,50913,119.68219178082192,2.54,24.61,1,Agricultural  Specialization,NM,0,0
6959,419911,1632,3650,15892,20315,4554,9596,250,4750,235,Ballston Spa National Bank,531968,181.4794520547945,0.89,10.87,13,Commercial Lending Specialization,N,0,0
17639,228471,1154,2237,7624,10657,3811,4079,250,2823,5,First State Bank & Trust Company,253168,62.824657534246576,1.6,17.81,4,Commercial Lending Specialization,NM,0,0
9392,133093,1659,539,3798,7414,2126,2241,252,1067,0,Bank of Grandin,159344,106.3972602739726,1.37,8.42,5,Commercial Lending Specialization,NM,0,0
19184,724573,1419,7780,18758,22003,9445,11222,252,5092,37,Hilltop National Bank,809986,54.827397260273976,1.29,12.12,6,Other Specialized Lending < 1 Billion,N,-81,0
3384,233254,1037,1794,6061,9815,3556,3392,259,2075,8,The Liberty National Bank in Paris,283358,88.12876712328767,1.24,7.73,3,All Other Specialization  < 1 Billion,N,-13,0
22430,62740,1933,141,1214,4103,1115,549,259,523,100,Washita State Bank,106129,42.1972602739726,1.01,8.38,1,Other Specialized Lending < 1 Billion,NM,18,0
13046,154661,1407,1100,5389,7511,1582,2997,259,1972,54,Farmers & Merchants Bank,197286,108.43287671232876,0.79,6.97,2,Commercial Lending Specialization,NM,120,0
23597,142891,474,1179,5435,6829,1567,2671,211,2233,11,Lamar National Bank,161021,37.56712328767123,1,9.45,1,Commercial Lending Specialization,N,2,0
28866,2930786,46964,4800,41442,154863,53688,26482,185,11799,1781,Oritani Bank,4089332,108.43287671232876,1.3,10.81,27,Commercial Lending Specialization,SB,0,0
18525,11940,96,67,363,660,239,220,252,115,32,State Bank of Marietta,15689,77.79452054794521,1.61,14.76,1,Agricultural  Specialization,NM,-3,0
17230,504508,2698,886,10906,22956,7118,6743,252,2603,0,Albany Bank and Trust Company National Association,600844,65.91780821917808,1.2,7.71,4,Commercial Lending Specialization,N,0,0
5408,51459,563,174,1607,2791,792,914,252,587,105,Genoa Community Bank,62074,116.43835616438356,1.35,11.13,1,Agricultural  Specialization,NM,-3,0
5410,155459,1156,866,4074,8724,2641,2670,252,1211,34,The First National Bank of Gordon,190536,130.44383561643835,1.36,10.61,1,Agricultural  Specialization,N,6,0
16103,48189,561,127,1458,2440,380,872,250,442,6,Farmers Bank of Green City,53775,75.52328767123288,0.74,8.09,2,Agricultural  Specialization,NM,0,0
15671,229741,581,2441,7310,9761,3258,4260,211,2406,10,The Bank of Clarendon,271637,79.91780821917808,1.22,9.01,5,Commercial Lending Specialization,NM,0,0
28865,578980,722,2593,4332,3976,984,2402,252,1437,0,MidCountry Bank,786287,86.41643835616438,0.12,0.89,14,Commercial Lending Specialization,SA,0,0
13157,202612,999,1281,7078,8329,1311,3894,252,2420,17,Kanza Bank,227912,114.43561643835616,0.6,5.87,4,Commercial Lending Specialization,NM,-26,0
16440,98254,356,509,2820,4325,1086,1519,259,1120,0,Farmers and Merchants Bank,114716,73.24657534246575,0.94,6.82,3,Other Specialized Lending < 1 Billion,NM,1,0
24332,275971,3165,31,2793,31892,26249,8282,252,1875,0,First Credit Bank,476271,36.25205479452055,5.62,14.02,2,Commercial Lending Specialization,NM,0,0
15496,387316,4536,1920,11268,24479,7327,7794,252,2085,108,First State Bank of Blakely,487649,116.43835616438356,1.49,10.74,7,Agricultural  Specialization,NM,0,0
7506,1356189,6867,10609,39468,64460,21669,23304,185,8090,265,ACNB Bank,1633945,162.1917808219178,1.34,14.5,29,Commercial Lending Specialization,NM,-227,0
19434,562931,766,2344,17397,23751,7582,9498,252,4821,266,BAC Community Bank,636243,54.010958904109586,1.19,13.11,12,Commercial Lending Specialization,NM,-75,0
15194,167057,1480,1126,5313,9702,3983,3121,250,1633,11,The Kearny County Bank,202887,131.44657534246576,1.97,11.68,2,Agricultural  Specialization,NM,118,0
15699,242194,775,1632,11888,13364,1638,7077,211,3410,17,Pineland Bank,273757,79.66575342465754,0.6,5.62,8,Commercial Lending Specialization,NM,0,0
9923,682551,3908,9809,36796,53903,11103,18694,192,13346,37,Anderson Brothers Bank,762088,86.41643835616438,1.54,16.32,23,Commercial Lending Specialization,NM,-8,0
20015,753785,5510,78650,67840,19216,21087,24725,250,40794,0,Bessemer Trust Company,837805,112.43561643835616,2.56,28.1,1,Other Specialized Lending < 1 Billion,NM,72,0
5779,192197,705,852,4615,6761,1733,2826,211,1392,38,The Peoples Bank,211883,85.41643835616438,0.83,9.25,4,Other Specialized Lending < 1 Billion,NM,5,0
28870,259451,1950,1439,11309,13551,991,5223,257,4716,196,Wallkill Valley Federal Savings and Loan Association,321789,106.43013698630136,0.31,2.82,8,Commercial Lending Specialization,SA,0,0
13962,80004,503,341,2929,4294,1118,1887,252,777,15,Bank of Hartington,93313,102.42739726027398,1.22,13.7,2,Agricultural  Specialization,SM,-22,0
15904,60528,414,270,1850,3426,1312,968,259,777,6,The Four County Bank,71404,77.7068493150685,1.92,14.01,1,Commercial Lending Specialization,NM,0,0
23090,212528,2340,855,5481,14190,5455,3233,257,1694,27,Peoples Bank and Trust Company of Pointe Coupee Parish,271920,39.13972602739726,2.03,15.32,4,Commercial Lending Specialization,NM,0,0
3388,150362,604,687,2829,5458,2692,1605,252,919,1,The Perryton National Bank,172423,98.42465753424658,1.55,12.8,1,Agricultural  Specialization,N,0,0
847,59837,136,253,1874,2315,437,950,259,682,4,The Pleasants County Bank,67368,122.46849315068494,0.67,6.48,2,All Other Specialization  < 1 Billion,SM,0,0
20268,382013,2006,1389,10598,20766,8701,6852,192,2953,91,Fidelity Bank,481310,48.62465753424657,1.81,10.4,1,Commercial Lending Specialization,NM,0,0
14311,103739,2165,274,2498,6430,1655,1701,252,676,130,Adams County Bank,166724,141.45205479452054,1,11.31,2,Agricultural  Specialization,NM,-136,0
6423,1918435,16236,8045,46276,93284,38791,21393,185,19669,422,Amboy Bank,2308821,131.0849315068493,1.64,10.9,23,Commercial Lending Specialization,SM,0,0
15899,115396,878,646,3077,5673,2018,1935,252,780,74,The First State Bank & Trust Co. of Larned,151862,123.44109589041096,1.32,10.55,4,Agricultural  Specialization,SM,0,0
1607,385821,1309,4068,12970,17631,5324,8219,252,3414,21,The Bank of Elk River,425006,134.44657534246576,1.26,14.14,5,Commercial Lending Specialization,NM,0,0
15050,244163,2413,-1406,6070,9360,-1101,3616,257,1620,102,First State Bank,268042,84.20821917808219,-0.4,-4.43,6,Commercial Lending Specialization,NM,-44,0
8172,215379,1382,1690,7888,11395,2883,4162,218,2493,0,Lake-Osceola State Bank,265318,111.43561643835616,1.11,12.52,10,Commercial Lending Specialization,NM,0,0
19070,316113,2387,1613,8550,14574,4175,5912,252,1632,171,First National Bank of Clarksdale,362904,55.14794520547945,1.12,9.46,5,Agricultural  Specialization,N,18,0
5709,97594,749,284,2707,3442,235,1439,259,1057,14,The Farmers Bank,110968,107.75342465753425,0.24,1.76,1,Commercial Lending Specialization,NM,0,0
17011,310486,2063,4851,10275,20923,10582,4785,252,4229,19,FNB SOUTH,371807,69.28219178082192,2.85,18.63,4,Commercial Lending Specialization,NM,0,0
12201,198636,485,1987,6780,8720,2777,4351,257,1317,0,The Cleveland State Bank,226828,111.33150684931506,1.22,13.04,5,Commercial Lending Specialization,NM,8,0
29899,34108,157,235,1833,1715,20,959,259,707,41,American Savings Bank,42530,130.44383561643835,0.05,0.26,2,Commercial Lending Specialization,NM,0,0
6560,87332660,654536,1233570,2470807,3974800,1535354,1437922,160,658607,24859,The Huntington National Bank,108672320,153.44657534246576,1.45,13.79,1100,Commercial Lending Specialization,N,-21420,0
10012,141488,614,367,4805,6710,1539,3126,211,1083,3,Portage County Bank,166862,118.43835616438356,0.95,8.36,7,Commercial Lending Specialization,NM,0,0
14944,15042,62,76,654,743,79,368,252,194,4,Emerald Bank,16965,134.6986301369863,0.46,4.26,2,All Other Specialization  < 1 Billion,SM,0,0
20226,157837,1428,687,4762,7673,1561,3119,257,1309,0,Oak Bank,195532,48.81369863013698,0.78,4.46,1,Commercial Lending Specialization,NM,0,0
1291,1318043,13539,8845,33506,64804,20312,17986,185,10830,171,Farmers Bank & Trust Company,1535300,113.43561643835616,1.39,13.53,24,Commercial Lending Specialization,SM,53,0
23622,1702506,12853,21529,66148,77899,21381,42187,187,17728,354,Bristol County Savings Bank,2176759,173.3095890410959,1,8.04,18,Commercial Lending Specialization,SB,9281,0
10185,43210,108,225,1327,2087,817,901,252,276,12,Elysian Bank,48636,111.7068493150685,1.74,16.02,1,All Other Specialization  < 1 Billion,NM,0,0
5425,16692,44,96,643,819,130,278,252,324,0,Bank of Lewellen,23034,113.67671232876712,0.54,2.12,1,Agricultural  Specialization,NM,0,0
9378,184814,969,1349,6663,10918,4182,3556,252,2120,37,F & C Bank,222158,138.22465753424657,1.92,19.53,3,Agricultural  Specialization,NM,-33,0
16795,27407,68,449,1412,1937,559,807,259,530,3,Bank of Locust Grove,32356,69.97808219178083,1.71,12.74,2,All Other Specialization  < 1 Billion,SM,0,0
18101,40896,190,34,1353,1621,134,1003,252,305,2,"The Farmers State Bank of Bucklin, Kansas",45964,110.43287671232876,0.3,2.73,1,Agricultural  Specialization,NM,0,0
16243,368216,838,2738,15348,20253,4311,8866,252,3936,23,Bank of Eastern Oregon,414528,74.24109589041096,1.07,10.36,14,Agricultural  Specialization,NM,0,0
30291,39276,335,131,1752,2691,506,911,211,654,6,"First Federal Bank Littlefield, Texas",51579,72.9945205479452,0.96,5.49,1,Agricultural  Specialization,SB,0,0
10956,274444,1642,3013,10573,14998,5790,6470,250,2369,38,Northview Bank,317263,111.43561643835616,1.82,15.34,13,Commercial Lending Specialization,NM,0,0
13104,71116,328,504,2251,3076,805,1242,250,729,10,The Elberfeld State Bank,81006,113.87397260273973,0.98,9.11,3,Agricultural  Specialization,SM,0,0
26189,97455,1677,42938,34774,3974,10435,22051,218,10691,13,The Haverford Trust Company,128577,34.295890410958904,7.76,44.05,1,All Other Specialization  < 1 Billion,SM,0,0
4365,7843337,60855,72279,215952,407821,168050,127975,185,49827,1234,First Merchants Bank,9873896,126.24657534246575,1.74,11.76,126,Commercial Lending Specialization,NM,4269,0
26260,48965,431,530,2611,2909,389,1563,252,552,22,The First National Bank in Marlow,60121,34.31780821917808,0.63,7.04,3,All Other Specialization  < 1 Billion,N,0,0
2224,457679,3362,1473,10278,19286,5018,6810,252,2319,59,"Bank of Bridger, National Association",509759,113.10684931506849,1.02,10.76,10,Agricultural  Specialization,N,-41,0
29904,184566,1343,530,4518,9790,3097,2853,252,1165,196,Elizabethton Federal Savings Bank,303195,81.96164383561644,1.02,2.7,5,All Other Specialization  < 1 Billion,SA,0,0
3091,504326,2765,4921,15179,24250,10869,8716,252,4927,32,The First National Bank of Bastrop,568889,129.82465753424657,1.92,19.45,6,Commercial Lending Specialization,N,2,0
19536,239507,1130,824,7661,8765,830,3336,259,2562,0,"South Central Bank, National Association",285798,53.36986301369863,0.29,3.55,5,Other Specialized Lending < 1 Billion,N,0,0
7900,1098487,5898,4286,31212,52416,15023,17035,187,10151,411,"NEXTIER BANK, NATIONAL ASSOCIATION",1257130,122.43835616438356,1.19,11.61,28,Commercial Lending Specialization,N,0,0
9998,130285,882,1029,5923,7395,1114,3152,252,2075,46,Capon Valley Bank,153628,100.93150684931507,0.73,6.46,5,Consumer Lending Specialization,NM,0,0
4147,676251,6994,1148,14789,47122,25452,7958,192,4446,298,Bank 7,769508,118.0958904109589,3.48,31.74,8,Commercial Lending Specialization,SM,0,0
9881,75923,405,501,3178,3909,818,1590,259,1211,10,Security Bank and Trust Company,89936,96.5095890410959,0.93,9.64,4,Commercial Lending Specialization,NM,6,0
15477,286318,1674,2062,7231,12791,4485,3592,252,2838,35,Citizens Bank of Americus,324192,82.25205479452055,1.43,16.07,3,Agricultural  Specialization,NM,0,0
34711,72226,992,106,1439,3200,848,878,259,425,0,Farmers Building and Savings Bank,93514,124.94794520547946,0.91,4.31,1,All Other Specialization  < 1 Billion,SB,0,0
10015,88927,729,633,2553,4544,1345,1262,252,1087,0,Security Bank,103139,111.78082191780823,1.35,10.39,4,Agricultural  Specialization,NM,23,0
6803,249325,2338,3468,10210,12065,2189,4635,259,4170,57,MCNB Bank and Trust Co.,294188,118.94246575342466,0.75,7.18,8,Commercial Lending Specialization,NM,-37,0
10998,106329,807,225,2556,5719,2488,1669,252,518,38,Granite Falls Bank,139471,141.45205479452054,1.76,16.1,1,Agricultural  Specialization,NM,0,0
16583,9007,30,-10,357,409,12,203,259,118,3,State Bank of Burrton,10157,72.02191780821917,0.11,1.05,1,Other Specialized Lending < 1 Billion,SM,0,0
22263,47016,178,554,1776,2171,350,1194,252,364,11,American State Bank of Grygla,52839,43.06027397260274,0.67,6.22,2,Agricultural  Specialization,SM,0,0
12511,151006,1186,937,4668,7267,2170,3002,211,1326,8,Alliance Bank,175044,119.43835616438356,1.29,13.37,5,Agricultural  Specialization,NM,0,0
1753,181477,1361,1909,6259,8931,3024,3392,259,2101,0,Union Bank & Trust Company,211122,132.2,1.44,14.95,4,Commercial Lending Specialization,NM,1,0
8162,182482,463,1985,9183,7978,176,5458,218,2681,21,State Savings Bank,223806,118.43835616438356,0.08,0.73,6,Commercial Lending Specialization,NM,0,0
10576,80523,867,343,2928,4830,1344,1766,252,882,42,First Southeast Bank,101477,126.24109589041096,1.3,14.59,3,Agricultural  Specialization,NM,0,0
2452,167705,607,1035,4672,6740,1794,2524,257,1625,0,West Union Bank,191010,126.1945205479452,0.95,12.85,5,Commercial Lending Specialization,NM,-204,0
16673,166500,654,1139,5683,7420,1601,2967,252,2070,14,Farmers & Merchants Bank,186795,71.27945205479452,0.84,8.56,3,Commercial Lending Specialization,NM,0,0
5162,180202,1671,1335,5261,8986,3146,3029,252,1543,14,The First National Bank of Henning,205351,115.85753424657534,1.56,13.04,3,Commercial Lending Specialization,N,18,0
6976,3887930,27664,19382,97937,168984,42896,50458,185,32332,1866,BNB Bank,4699432,110.2986301369863,0.95,8.36,39,Commercial Lending Specialization,SM,-7921,0
90,176950,1718,933,5502,9011,2688,3066,259,1899,29,Commercial Bank & Trust Company,213142,106.43013698630136,1.26,15.31,5,Commercial Lending Specialization,SM,0,0
5357,183032,815,1545,6739,8028,2018,4015,259,1998,16,First National Community Bank,203815,100.42739726027398,1,11.3,5,Commercial Lending Specialization,N,14,0
15995,1301590,8752,2704,32136,50920,9573,19500,187,7361,176,PCSB Bank,1554749,148.45753424657534,0.65,4.79,17,Commercial Lending Specialization,NM,81,0
32307,53972,338,201,2029,2280,84,1049,259,635,26,Galion Building and Loan Bank,61422,135.33150684931508,0.13,1.15,2,Mortgage Lending Specialization,NM,0,0
24334,280014,1159,892,7361,13586,3111,4279,257,2137,70,Rocky Mountain Bank,317935,36.23561643835617,1.03,8.85,3,Commercial Lending Specialization,SM,0,0
10178,57376,193,231,1424,2448,1062,873,252,355,0,Produce State Bank,63874,92.83835616438355,1.63,17.19,3,Agricultural  Specialization,NM,0,0
3402,1444414,26315,2632,22380,78159,22081,12466,191,6537,482,"BTH Bank, National Association",1915036,104.62739726027397,1.21,10.5,13,Commercial Lending Specialization,N,-27,0
12788,350469,1378,3318,10889,14397,4439,7328,250,1803,945,Baraboo State Bank,394825,161.96986301369864,1.14,10.02,8,Commercial Lending Specialization,SM,0,0
20093,361664,4318,2953,12566,22485,7360,7224,250,3058,137,All America Bank,438494,49.41917808219178,1.76,16.9,7,Agricultural  Specialization,NM,0,0
22536,125302,1477,553,3033,5970,4317,1597,218,1038,0,First Secure Bank and Trust Co.,148993,41.583561643835615,3.36,34.44,2,Commercial Lending Specialization,NM,0,0
30306,284223,4687,797,11045,15238,1297,6748,252,3017,251,"Broadway Federal Bank, f.s.b.",407170,72.25479452054795,0.32,2.56,3,Commercial Lending Specialization,SA,0,0
18979,459863,2450,4404,13792,19088,5541,8929,252,2774,79,"Integrity First Bank, National Association",525645,55.446575342465756,1.12,10.43,10,Commercial Lending Specialization,N,0,0
16423,26212,76,60,922,1144,152,517,252,298,0,La Monte Community Bank,29606,73.03287671232877,0.51,4.6,1,Agricultural  Specialization,NM,0,0
3405,1634921,7746,14806,62844,93433,19702,38406,187,16076,487,Vantage Bank Texas,1916572,95.57808219178082,1.03,7.28,25,Commercial Lending Specialization,SM,65,0
29294,444816,4126,445,8856,17729,4256,5680,250,2166,29,Time Federal Savings Bank,581840,84.28493150684932,0.72,3.24,6,Mortgage Lending Specialization,SA,42,0
14078,694336,4520,11715,27514,32104,8324,15664,190,8477,98,Blackhawk  Bank,815070,138.44931506849315,1.09,10.92,9,Commercial Lending Specialization,NM,46,0
10663,327742,1474,3166,11336,13831,3864,4485,252,4959,0,The Andover Bank,396389,134.61369863013698,0.96,10.13,10,Mortgage Lending Specialization,SM,8,0
1527,524068,5318,2883,15595,25619,7041,8874,252,4261,51,Diamond Bank,604904,114.47945205479452,1.2,12.24,16,Agricultural  Specialization,SM,93,0
28710,3326853,37169,7956,66153,147292,40092,34214,185,18145,1690,Northfield Bank,4409433,132.44657534246576,0.96,6.58,41,Commercial Lending Specialization,SA,177,0
11415,129437,709,326,3520,6046,2031,2487,209,774,11,Harvest Bank,144717,117.83835616438355,1.43,15.89,4,Agricultural  Specialization,NM,-26,0
29293,112153,1262,487,2819,5326,1324,1346,218,1257,19,"Cumberland Federal Bank, FSB",141156,85.41643835616438,0.97,8.4,1,Mortgage Lending Specialization,SA,-8,0
1475,88111,272,593,3179,4346,1121,1591,259,1246,13,Peoples Bank & Trust Company,100966,113.92602739726027,1.13,10.27,1,Commercial Lending Specialization,NM,1,0
31711,77460,1090,179,1648,4921,1701,779,252,711,13,RiverBank,95391,44.827397260273976,1.89,18.66,2,Agricultural  Specialization,NM,0,0
12204,757817,4461,8588,27219,31359,7011,14276,189,7213,37,"The Citizens Bank of Philadelphia, Mississippi",958362,111.43561643835616,0.72,8.69,23,Commercial Lending Specialization,NM,11,0
30303,1206770,8565,532,32365,79016,26602,17631,187,10857,143,Maspeth Federal Savings and Loan Association,1882986,72.40821917808219,1.44,4.37,6,Commercial Lending Specialization,SA,0,0
26658,23455,99,618,1393,1360,380,633,259,574,0,Amistad Bank,28288,33.06849315068493,1.32,8.69,1,Commercial Lending Specialization,NM,0,0
14240,729262,4409,4899,28952,34390,3690,18549,190,6903,160,Northway Bank,922518,85.41643835616438,0.4,3.85,17,Commercial Lending Specialization,NM,40,0
8193,103323,415,344,2853,4799,1404,1736,257,879,8,Lake Community Bank,119295,113.8054794520548,1.16,9.25,1,Commercial Lending Specialization,NM,0,0
5649,69257146,1962672,925236,3597770,11196231,2677480,1058471,173,2486296,2230,Discover Bank,108015112,107.77260273972603,2.61,25.02,2,Credit-Card   Specialization,NM,166,0
2160,114700,371,1512,4353,6208,2158,2079,211,1688,357,The First National Bank of Waynesboro,139260,114.43561643835616,1.57,9.64,3,All Other Specialization  < 1 Billion,N,-14,0
17612,688096,4778,2519,25029,40147,8745,17272,192,5412,99,Central Bank,761477,62.989041095890414,1.25,13.79,4,Commercial Lending Specialization,SM,86,0
11904,125454,772,1086,3554,5662,2369,1844,252,1276,26,"First State Bank of Ben Wheeler, Texas",145753,108.30410958904109,1.62,12.43,4,Mortgage Lending Specialization,NM,0,0
6863,246183,1306,1086,8996,11797,2358,4990,216,2946,0,Powell Valley National Bank,297305,131.44657534246576,0.84,5.84,6,Commercial Lending Specialization,N,172,0
8243,115663,834,1211,4975,6547,1282,2572,252,1577,77,Bank of Anguilla,150720,115.43835616438356,0.88,9.91,5,Agricultural  Specialization,NM,1,0
3639,153184,1293,267,4181,6708,1365,2219,259,1303,18,First National Bank & Trust Company,171778,147.04109589041096,0.82,10.36,1,Other Specialized Lending < 1 Billion,N,-127,0
21693,56079,74,324,1682,1928,337,764,259,736,1,Lakeside National Bank,62457,44.863013698630134,0.51,5.43,1,Other Specialized Lending < 1 Billion,N,0,0
28894,213715,1658,1992,9279,10431,1229,5128,259,3357,66,Security Federal Savings Bank,257313,85.16986301369863,0.5,4.05,5,Commercial Lending Specialization,SA,171,0
1027,214374,1994,2736,6930,12172,5859,2947,190,3075,67,Farmers Bank and Trust Company,266601,111.23013698630137,2.26,22.94,7,Agricultural  Specialization,SM,0,0
21714,662964,2512,4866,14678,31289,13797,8221,252,4799,23,Premier Bank,796738,44.80821917808219,1.85,18.56,8,Commercial Lending Specialization,NM,-27,0
1213,144787,372,1214,4916,6114,2025,2960,211,1405,0,The Roscoe State Bank,161034,112.5068493150685,1.29,12.82,4,All Other Specialization  < 1 Billion,NM,-15,0
31723,19380,250,50,817,952,-65,359,259,367,27,"Home Savings Bank, FSB",25894,78.41095890410959,-0.25,-1.66,1,All Other Specialization  < 1 Billion,SA,0,0
10075,28492,92,160,823,1389,506,544,252,218,1,Peoples State Bank of Colfax,32988,127.02739726027397,1.49,12.58,1,Agricultural  Specialization,NM,0,0
15545,633491,9249,1615,14666,35258,9946,8786,192,3955,195,Frontier Bank,806125,81.65205479452055,1.26,11.22,9,Agricultural  Specialization,NM,-78,0
11200,858242,9712,3322,30506,44633,5583,16025,188,10972,357,Virginia Commonwealth Bank,1076167,88.58630136986301,0.55,5.56,18,Commercial Lending Specialization,SM,0,0
22081,295830,1765,2022,10645,14045,3147,5083,252,3739,15,Magnolia State Bank,329258,43.8,0.95,9.8,8,Commercial Lending Specialization,NM,0,0
5358,127697,914,454,3320,5557,1650,1733,259,1174,6,The First National Bank of Park Falls,145212,105.27671232876712,1.14,11.71,3,All Other Specialization  < 1 Billion,N,3,0
131,5177444,27128,51081,161828,241399,70146,84056,181,53334,2182,Seacoast National Bank,6748096,86.41643835616438,1.16,9.17,60,Commercial Lending Specialization,N,-485,0
14695,244844,1795,1806,6777,10292,3378,3909,211,2384,206,Macon-Atlanta State Bank,276982,126.44109589041096,1.2,12.84,2,Agricultural  Specialization,SM,-33,0
13083,357282,4166,4002,14377,18969,2905,8483,252,3256,70,First Western Bank,424675,109.13972602739726,0.72,8.46,10,Commercial Lending Specialization,SM,0,0
1946,142983,960,1688,5772,7043,1999,3344,209,1945,54,Alliant Bank,159371,131.3095890410959,1.26,12.7,5,Agricultural  Specialization,NM,0,0
14,114391578,716282,8446462,8174326,3649837,2733848,4392756,153,1971904,376836,State Street Bank and Trust Company,242037871,227.5095890410959,1.14,11.25,1,International Specialization,SM,8712,0
28892,17862420,288208,35226,404379,969892,200997,235746,183,104383,16206,Investors Bank,26266236,93.42191780821918,0.79,7.24,148,Commercial Lending Specialization,SB,-32848,0
11235,47075,246,209,1087,1819,599,609,252,257,4,Bonduel State Bank,60496,112.71506849315068,1.02,4.68,1,All Other Specialization  < 1 Billion,NM,0,0
30313,183082,2384,556,6428,8838,499,3729,259,1925,75,East Wisconsin Savings Bank,250503,132.44657534246576,0.2,2.35,6,Consumer Lending Specialization,SB,6,0
15907,108885,905,541,4298,6276,1013,2382,250,1299,13,Community First Bank,129439,80.91506849315068,0.71,6.31,5,Agricultural  Specialization,NM,-122,0
19163,136158,1195,834,5182,8187,1812,2804,259,1890,6,First State Bank,148754,54.88493150684931,1.29,16.77,4,Commercial Lending Specialization,NM,0,0
13030,72836,708,181,2755,3782,446,1831,252,541,1,Oakwood Bank,84090,99.16438356164383,0.55,4.83,3,Agricultural  Specialization,NM,0,0
21085,39009,418,208,1324,2490,866,851,252,323,0,Bank of Ontario,49826,107.7068493150685,1.87,16.28,2,Agricultural  Specialization,NM,0,0
172,1253092,4206,21745,40529,52941,29534,24747,185,9748,68,United Bank,1389578,114.35342465753425,2.18,23.35,18,Commercial Lending Specialization,NM,-76,0
17393,3091232,17898,36376,91543,133627,48650,50730,181,28190,662,German American Bank,3921959,108.57534246575342,1.44,13.11,64,Commercial Lending Specialization,NM,706,0
12758,37258,162,242,1564,2172,613,850,211,575,0,"Farmers State Bank, Allen, Oklahoma",43405,96.73972602739725,1.39,11.4,2,Commercial Lending Specialization,NM,0,0
11711,195087,884,655,3993,8813,4438,2511,252,1102,1,Bank of Rantoul,229975,98.52602739726028,1.96,18.47,3,Agricultural  Specialization,NM,87,0
13112,185073,1428,1691,7388,9606,1814,4405,259,1909,43,Owen County State Bank,221865,85.41643835616438,0.85,8.77,5,Commercial Lending Specialization,NM,-6,0
5874,446356,411,2349,11036,18501,7466,6280,252,3401,0,"Calvin B. Taylor Banking Company of Berlin, Maryland",529698,129.44383561643835,1.41,9.2,11,Commercial Lending Specialization,NM,388,0
4032,622708,5393,3315,20574,29735,5708,11840,192,5528,24,NBC OKLAHOMA,725937,87.83835616438355,0.79,10.99,8,Commercial Lending Specialization,NM,0,0
11817,46148,121,731,2208,2079,481,1217,259,738,3,Richton Bank & Trust Company,56602,88.41917808219178,0.84,5.59,2,All Other Specialization  < 1 Billion,NM,0,0
59070,2707348,26200,48865,117508,115307,13440,71179,183,34487,986,HarborOne Bank,3656684,5.865753424657535,0.46,4.67,28,Commercial Lending Specialization,SB,5,0
10980,90562,1321,775,2404,4806,1760,1457,252,626,27,ESB Bank,111593,110.43013698630136,1.66,17.39,3,Agricultural  Specialization,NM,0,0
15173,46638,322,168,1313,2085,482,706,252,546,5,"Farmers & Merchants Bank, of Orfordville",54633,118.28767123287672,0.92,6.9,1,Agricultural  Specialization,SM,0,0
12283,88610,400,428,2268,3606,1268,1437,252,595,15,First State Bank,100773,110.33698630136986,1.3,10.75,2,Agricultural  Specialization,SM,2,0
6913,177628,1032,1370,7422,10038,2366,3419,259,3118,34,Pioneer Bank,208984,109.5123287671233,1.17,10.31,8,Commercial Lending Specialization,SM,0,0
14017,388631,2655,1174,11455,16301,2081,6483,192,3072,255,Middletown Valley Bank,435574,111.42739726027398,0.52,4.73,7,Commercial Lending Specialization,NM,0,0
10802,51054,157,425,1652,2126,593,1060,252,477,1,Farmers State Bank of Danforth,58557,103.63561643835617,1.01,8.41,2,Agricultural  Specialization,NM,0,0
5447,27464,148,198,1078,1235,203,616,252,355,10,Bank of Newman Grove,35016,119.16712328767123,0.59,6.16,1,Agricultural  Specialization,SM,0,0
70,53255,276,331,2430,3127,476,1671,252,556,0,Peoples Exchange Bank,62930,111.79452054794521,0.74,5.04,1,Commercial Lending Specialization,NM,-4,0
3110,135238,556,1049,4062,6450,2818,2468,250,1215,2,The Commercial National Bank of Brady,154371,112.24657534246575,1.68,16.28,2,All Other Specialization  < 1 Billion,N,24,0
30315,296404,3100,82,8411,16808,4336,4552,252,2941,46,First Federal Savings Bank of Lincolnton,381436,79.41369863013699,1.14,7.48,4,Mortgage Lending Specialization,SA,14,0
7468,5920231,36313,81028,192274,292240,113555,105544,185,51316,1859,First Commonwealth Bank,7812063,138.72876712328767,1.51,11.68,138,Commercial Lending Specialization,NM,7950,0
