cert,rcon2200_total_deposits,riad4073_total_interest_expense,riad4079_total_noninterest_income,riad4093_total_noninterest_expense,riad4107_total_interest_income,riad4340_net_income,riad4135_salaries_and_employee_benefits,n_missing,riad4092_other_noninterest_expense,riad4518_other_interest_income,name,asset,age,roa,roe,offices,specialization,bank_class,riad3196_relzd_gains(loss)_on_avl-fr-sle_secs,rconk115_ln_rstr_secd_nonfarm_own_pd_90
16249,263367,1609,4819,13461,11648,1311,8335,259,3621,0,Devon Bank,293772,73.7041095890411,0.47,5.31,8,Commercial Lending Specialization,NM,0,0
23737,555492,5767,1997,15731,27811,5713,9349,192,4983,36,"Vast Bank, National Association",624928,37.25753424657534,0.93,10.05,10,Commercial Lending Specialization,N,0,0
8595,112542,304,1152,4245,5478,235,2690,257,1051,21,Bank of Bennington,136059,91.34794520547945,0.19,1.59,4,Commercial Lending Specialization,SM,0,0
2036,534788,886,6977,20044,26203,8952,12089,252,5821,37,Farmers & Merchants Bank,608865,110.43287671232876,1.46,13.32,11,Commercial Lending Specialization,NM,0,0
14642,158210,465,1027,3855,5926,2446,2177,257,1315,11,The Commercial Bank,184230,85.05205479452054,1.32,10.02,6,Other Specialized Lending < 1 Billion,NM,1,0
10460,146780,401,1610,4637,7341,3838,3063,252,790,0,Town & Country Bank Midwest,167003,109.43287671232876,2.25,19.53,6,Commercial Lending Specialization,NM,0,0
31249,123985,341,1416,4332,5241,1742,1990,211,1205,6,1st United Bank,142380,99.42739726027398,1.19,9.83,2,Commercial Lending Specialization,NM,0,0
4122,36258,183,244,1271,1580,270,679,252,467,1,1st Bank in Hominy,39955,113.15890410958905,0.67,7.91,1,All Other Specialization  < 1 Billion,SM,0,0
18710,148763,620,604,4743,9179,4285,2969,259,1184,43,North Valley Bank,169563,56.24657534246575,2.55,21.9,2,Commercial Lending Specialization,NM,0,0
5605,37452,51,156,1660,1934,424,1056,218,410,0,Bank of Brewton,48227,129.86301369863014,0.81,4.09,2,All Other Specialization  < 1 Billion,NM,0,0
23864,230818,412,725,7949,12063,3072,4947,259,1895,0,Summit Bank,266852,36.88767123287671,1.15,10.59,3,Commercial Lending Specialization,NM,0,0
29743,106333,1295,271,2863,4903,771,1648,259,1028,0,Aroostook County Federal Savings and Loan Association,126789,82.84109589041095,0.63,5.82,2,Mortgage Lending Specialization,SA,-13,0
29749,128226,600,340,5849,6745,378,3166,218,2083,121,Southern Hills Community Bank,154663,135.44931506849315,0.25,1.68,8,Consumer Lending Specialization,SA,0,0
25328,46957,286,232,1351,2431,1055,800,252,486,4,BOC Bank,55419,34.75890410958904,2.04,13.83,2,Commercial Lending Specialization,SM,0,0
14857,194051,736,2502,7090,8722,3103,3737,259,2787,12,State Street Bank and Trust Company,221489,129.44383561643835,1.42,17.19,4,Consumer Lending Specialization,NM,-22,0
28489,9271317,26317,82847,329358,451879,139962,182557,179,96844,2202,Banner Bank,11576413,129.44383561643835,1.36,10.46,182,Commercial Lending Specialization,NM,-821,0
13017,102365,478,1043,3356,4309,1244,1858,259,1195,7,"Bank of Mount Hope, Inc.",121077,104.81369863013698,1,7.94,3,All Other Specialization  < 1 Billion,NM,13,0
72,271312,1753,2075,8379,13282,4632,5022,259,2682,22,Central State Bank,308565,103.33424657534246,1.59,14.69,5,Commercial Lending Specialization,SM,0,0
3749,106366,408,1194,4153,4528,889,2085,252,1694,27,The First National Bank in Tremont,123773,87.53972602739726,0.73,6.41,3,Agricultural  Specialization,N,0,0
14531,3685241,30197,48566,98358,177328,83871,61487,187,27400,149,Amarillo National Bank,4367991,127.44383561643835,2.05,15.91,33,Commercial Lending Specialization,N,32,0
6128,179112,813,839,6691,7901,876,3497,259,2602,11,The Bank of Fincastle,207117,143.73150684931508,0.43,3.53,7,Commercial Lending Specialization,NM,0,0
4222,36596,199,85,1168,1804,473,718,252,377,2,The First Farmers National Bank of Waurika,45814,113.20547945205479,1.05,5.5,1,Agricultural  Specialization,N,-29,0
18282,124150,389,557,1992,3737,1832,903,259,755,7,First National Bank of Alvin,140292,58.81643835616438,1.31,12.21,2,Mortgage Lending Specialization,N,-1,0
15847,47352,445,208,1567,2385,525,872,252,441,7,Sunrise Bank Dakota,57342,94.42191780821918,0.87,8.44,1,Agricultural  Specialization,NM,0,0
7759,3964829,27383,60430,136951,190457,54503,63033,185,58278,1965,Univest  Bank and Trust Co.,4964938,143.2054794520548,1.16,8.79,47,Commercial Lending Specialization,SM,10,0
25665,396938,1659,7010,8915,14461,9947,5105,252,2873,64,Community National Bank,449537,34.62465753424657,2.25,27.35,4,Agricultural  Specialization,N,-432,0
13551,55301,716,116,1800,3576,206,1048,252,662,7,The State Exchange Bank,65002,117.69041095890411,0.31,2.89,1,Agricultural  Specialization,NM,-2,0
16723,412472,1476,4199,13185,18534,5716,7422,252,2443,236,Carolina Bank & Trust Co.,475163,83.24657534246575,1.23,10.16,15,Commercial Lending Specialization,NM,13,0
5072,346034,1106,3152,11486,13622,2801,7334,250,2802,58,"Range Bank, National Association",382627,132.0246575342466,0.74,8.32,12,Commercial Lending Specialization,N,0,0
14712,718604,2754,30034,41650,87657,25083,10614,192,28707,62,First National Bank,997633,85.41643835616438,2.58,10.45,15,Commercial Lending Specialization,N,-127,0
